番号,section,単語,意味
1,section1,follow,～の後に続く、～に従う
2,section1,consider,～を考慮する
3,section1,increase,増える、～を増やす
4,section1,expect,～を予期する
5,section1,decide,～することを決意する
6,section1,develop,発達する、～を発達させる
7,section1,provide,～を供給する、与える
8,section1,continue,続く、～を続ける
9,section1,include,～を含む、含める
10,section1,remain,ままでいる
11,section1,reach,～に着く、～に達する
12,section1,allow,～を許可する
13,section1,force,～を強制する
14,section1,offer,～を申し出る
15,section1,realize,～を悟る
16,section1,suggest,～と提案する、～をほのめかす
17,section1,require,～を必要とする
18,section1,worry,心配する
19,section1,wonder,～かと疑問に思う
20,section1,cost,～を要する
21,section1,tend,～する傾向がある、～しがちである
22,section1,depend,～に依存する、～しだいで決まる
23,section1,share,～を分け合う、共有する
24,section1,demand,～を要求する
25,section1,support,～を支持する
26,section1,hire,～を雇う
27,section1,regard,AをBだと思う、みなす
28,section1,base,AがBに基づいている
29,section1,improve,～を向上させる
30,section1,recognize,～を認める
31,section1,notice,～に気づく
32,section1,suppose,～だと思う
33,section1,raise,～を上げる、～を育てる
34,section1,prefer,～をより好む
35,section1,cheer,～を励ます
36,section1,suffer,～を経験する、受ける、苦しむ
37,section1,describe,～を描写する、～の特徴を説明する
38,section1,prevent,～をさまたげる
39,section1,reduce,～を減らす
40,section1,mistake,～を誤解する、まちがえる
41,section1,prepare,～の準備をする
42,section1,encourage,はげます
43,section1,prove,～だとわかる
44,section1,treat,～をあつかう
45,section1,establish,～を設立する、創立する
46,section1,relate,関係がある
47,section1,compare,～を比較する、～をたとえる
48,section1,spread,～を広げる；広がる
49,section1,refer,～を指示する
50,section1,supply,～を供給する
51,section1,gain,～を得る
52,section1,destroy,～を破壊する
53,section1,apply,当てはまる、申し込む
54,section1,seek,～を求める
55,section1,search,～を捜す
56,section1,claim,～と主張する
57,section1,draw,～を引っぱる
58,section1,refuse,～を断る
59,section1,respond,～に返答する
60,section1,mention,～について述べる
61,section1,judge,～を判断する
62,section1,approach,～に接近する；～に取り組む；方法
63,section1,admit,～を認める
64,section1,reflect,～を反映する、～を反射する
65,section1,perform,～を行う、～を遂行する
66,section1,bore,～をうんざりさせる
67,section1,survive,生き残る
68,section1,represent,～を表す
69,section1,argue,～と主張する
70,section1,grant,～を認める、～を与える
71,section1,indicate,～を指し示す
72,section1,belong,所属している
73,section1,acquire,～を習得する
74,section1,reply,返事をする
75,section1,feed,～にエサをやる
76,section1,escape,逃げる
77,section1,replace,～に取って代わる、～を取り替える
78,section1,reveal,～を明らかにする
79,section1,surround,～を取り囲む
80,section1,suit,～に合う
81,section1,estimate,～を推定する
82,section1,aim,～をねらう
83,section1,earn,～をもうける、かせぐ
84,section1,decline,衰退する、低下する、～を辞退する
85,section1,afford,～をする余裕がある
86,section1,confuse,～を当惑させる
87,section1,graduate,～を卒業する
88,section1,vary,変わる、さまざまである
89,section1,remove,～を移す、取り去る
90,section1,insist,～と主張する、言い張る
91,section1,examine,～を調査する
92,section1,remind,ＡにＢを思い出させる
93,section1,contribute,～に貢献する、～の一因となる、AをBに寄付する
94,section1,warn,～に警告する
95,section1,connect,～をつなぐ
96,section1,match,～に匹敵する、～に調和する
97,section1,focus,焦点を合わせる
98,section1,reject,～を断る
99,section1,convince,～を納得させる、確信させる
100,section1,associate,AをBに関連づける、AからBを連想する
101,section2,rush,急いで行く
102,section2,stress,～を強調する
103,section2,attract,～を引きつける
104,section2,rely,Aに頼る
105,section2,regret,～を後悔する
106,section2,adopt,～を採用する
107,section2,shake,～を振る
108,section2,hurt,～を傷つける
109,section2,operate,作動する、～を操作する、手術する
110,section2,extend,～を広げる、延長する
111,section2,blame,～を非難する、～のせいにする
112,section2,consist,Aで構成されている
113,section2,persuade,～を説得する
114,section2,admire,～に感心する
115,section2,disappoint,～を失望させる
116,section2,expand,拡大する
117,section2,preserve,～を保護する
118,section2,struggle,苦闘する、もがく
119,section2,arrange,～の手はずを整える、～を配列する
120,section2,disturb,～を妨げる
121,section2,employ,～を雇う、～を用いる
122,section2,engage,Aに従事する、Aを行う
123,section2,abandon,～を捨てる
124,section2,display,～を展示する、～を表す
125,section2,encounter,～に偶然出会う
126,section2,amuse,～を楽しませる
127,section2,bother,～に面倒をかける、困らせる
128,section2,concentrate,集中する
129,section2,adapt,～を適応させる、適応する
130,section2,puzzle,～を当惑させる
131,section2,appeal,Aに訴える、～を引きつける
132,section2,combine,～を結合させる
133,section2,delay,～を遅らせる
134,section2,repair,～を修理する
135,section2,fascinate,～を夢中にさせる
136,section2,Pardon,～を許す
137,section2,import,～を輸入する
138,section2,remark,述べる
139,section2,reserve,～を予約する、～を取っておく
140,section2,amaze,～を驚嘆させる
141,section2,frighten,～をおびえさせる
142,section2,release,～を解放する、～を発表する
143,section2,rent,～を賃借りする
144,section2,recover,Aから回復する
145,section2,suspect,～ではないかと思う、～を疑う
146,section2,deliver,～を配達する、渡す、～をする
147,section2,identify,～の正体をつきとめる、Aと共感する
148,section2,locate,位置する
149,section2,manufacture,～を製造する
150,section2,occupy,～を占める
151,section2,own,～を所有している
152,section2,expose,ＡをＢにさらす
153,section2,translate,～を翻訳する
154,section2,cure,～を治療する
155,section2,perceive,～を知覚する
156,section2,adjust,～に慣れる、調節して合わせる
157,section2,alarm,～をぎょっとさせる、おびえさせる
158,section2,assist,～を助ける、～を手伝う
159,section2,freeze,凍りつく
160,section2,spoil,～を台無しにする
161,section2,shift,～を変える
162,section2,embarrass,～を困惑させる、～に恥ずかしい思いをさせる
163,section2,approve,賛成する；～を承認する
164,section2,weigh,～の重さがある、～を比較検討する、よく考える
165,section2,stretch,～を広げる
166,section2,participate,Aに参加する
167,section2,exhibit,～を展示する
168,section2,owe,AのことはBのおかげだ
169,section2,celebrate,～を祝う
170,section2,decorate,～を装飾する
171,section2,forgive,～を許す
172,section2,seat,(be seated)座っている
173,section2,injure,～を傷つける
174,section2,sew,～を縫う
175,section2,result,結果
176,section2,feature,特徴
177,section2,society,社会、協会、団体
178,section2,wheel,車輪、ハンドル
179,section2,value,価値
180,section2,effect,効果、影響、結果
181,section2,individual,個人
182,section2,influence,影響
183,section2,fee,謝礼、料金
184,section2,rate,割合、速度
185,section2,sign,印、兆候
186,section2,service,公共事業、業務
187,section2,advance,前進、進歩
188,section2,laughter,笑い
189,section2,material,物質
190,section2,industry,工業
191,section2,attempt,試み
192,section2,trade,貿易
193,section2,progress,進歩、前進
194,section2,excuse,言い訳
195,section2,custom,習慣、税関
196,section2,passage,一節、経過、通行
197,section2,economy,経済
198,section2,track,小道、足跡
199,section2,transportation,交通機関、輸送
200,section2,official,役人
201,section3,sight,見ること、光景、視力
202,section3,taste,味、好み
203,section3,range,範囲
204,section3,appointment,約束、予約
205,section3,patient,患者、忍耐強い
206,section3,project,計画
207,section3,favor,好意
208,section3,appearance,外見、様子、出現
209,section3,risk,危険
210,section3,benefit,利益
211,section3,resident,住民
212,section3,relative,親族、親戚
213,section3,region,地域
214,section3,characteristic,特徴
215,section3,pain,苦痛
216,section3,twin,双子の一方、双生児
217,section3,occasion,場合、機会
218,section3,principle,原理、原則
219,section3,department,部門、学科
220,section3,duty,義務、関税
