番号,section,単語,意味
1,section1,create,を創り出す；を引き起こす
2,section1,increase,増加する（⇔ decrease ⇒ 223）；を増やす
3,section1,improve,を向上させる；よくなる
4,section1,mean,を意味する；（...する）つもりである（to do）
5,section1,own,を所有している；（事実・罪など）を認める
6,section1,include,を含む（⇔ exclude ⇒ 1009）
7,section1,consider,を見なす；について考える
8,section1,allow,を許す；を与える；（～を）考慮に入れる（for）
9,section1,suggest,を提案する；を暗示する
10,section1,produce,を生産する；を取り出す
11,section1,decide,を決める；に決着をつける
12,section1,offer,を提供する，申し出る
13,section1,require,を要求する；を必要とする
14,section1,share,を共有する；を分担する
15,section1,store,を保存する；を蓄える
16,section1,tend,傾向がある；を世話する
17,section1,concern,〔受身形で〕心配している；〔受身形で〕（～に）関係する（with）；に関連する
18,section1,describe,について述べる，を説明する
19,section1,involve,を関与させる；を伴う
20,section1,reduce,を減らす；を（～に）変える（to）
21,section1,design,を設計する；を計画する
22,section1,force,に強いる；を強要する
23,section1,limit,を制限［規制］する
24,section1,bear,に耐える（≒ endure ⇒ 824）；を負う；を産む；を（心に）抱く
25,section1,affect,に影響を及ぼす（≒ influence ⇒ 49）；を感動させる
26,section1,deal,〔deal withで〕を処理する；〔deal inで〕を商う；を分配する
27,section1,avoid,を避ける
28,section1,relate,を関連づける；（～に）関連する（to）
29,section1,realize,に気づく；を実現する
30,section1,encourage,を奨励する；を励ます（⇔ discourage ⇒ 706）
31,section1,compare,を比較する；を（～に）たとえる（to）
32,section1,measure,を測る；を（比較して）評価する
33,section1,exist,存在する；生存する
34,section1,mark,に印をつける；を（記号で）示す；に汚れをつける
35,section1,challenge,に異議を唱える；（人）に挑む
36,section1,depend,頼る；～次第である
37,section1,object,反対する；（...）と言って反対する（that節）
38,section1,demand,を要求する
39,section1,found,を設立する；（理論など）を（～に基づいて）築く（on）
40,section1,complete,を完成させる，仕上げる
41,section1,idea,考え，思いつき；理解；見解；概念
42,section1,accord,一致；合意，協定
43,section1,company,会社；〔集合的に〕仲間；（仲間と）一緒にいること；一座
44,section1,interest,興味；利子；利害
45,section1,research,（～についての）研究，調査（into / on / in）
46,section1,cause,原因（⇔ effect ⇒ 48）；理由；大義
47,section1,reason,理由；（...する）根拠（to do）；理性；分別
48,section1,effect,影響，効果；結果
49,section1,influence,影響（力）
50,section1,situation,状況；（人の置かれた）立場
51,section1,environment,環境（≒ surroundings）
52,section1,skill,技能；熟練
53,section1,matter,事柄；問題；〔～s〕事態；〔the ～〕困難；物質
54,section1,view,（～についての）見解（on / about）；（～に対する）（特定の）見方（of）；眺め
55,section1,value,価値；価格；評価；〔～s〕価値観
56,section1,species,（生物の）種；種類
57,section1,thought,考え；思考
58,section1,knowledge,知識；知っていること；認識
59,section1,memory,記憶（力）；（～の）思い出（of）
60,section1,practice,実践，実行；（社会の）慣習；練習
61,section1,benefit,利益，恩恵；給付金
62,section1,theory,学説；理論；原理；推測
63,section1,issue,問題（点）；発行（物）；発表
64,section1,experiment,（～を対象とする）実験（on）
65,section1,article,記事；条項；品物
66,section1,focus,焦点；関心の的
67,section1,subject,話題；科目；主題；被験者
68,section1,project,計画；事業；研究計画
69,section1,quality,質（⇔ quantity ⇒ 471）；特質
70,section1,role,役割；（俳優などの）役
71,section1,term,（専門）用語；〔～s〕条件；〔～s〕間柄；学期
72,section1,statement,声明；主張；明細書
73,section1,material,材料，素材；資料；生地
74,section1,evidence,証拠
75,section1,source,（～の）源，根源（of）；出所，情報源
76,section1,community,（共同）社会，～界；地域社会；地域住民
77,section1,technology,科学技術；応用技術
78,section1,culture,文化；教養；耕作；養殖；培養
79,section1,appropriate,（～に）適切な（for / to）
80,section1,likely,ありそうな（⇔ unlikely ありそうもない）
81,section1,possible,可能な；可能性のある
82,section1,individual,個々の；個人の
83,section1,public,公の（⇔ private 私的な）；公衆の；公開の
84,section1,common,共通の；普通の；一般の
85,section1,certain,確信して；確かな；ある；一定の
86,section1,similar,似ている，類似した；同様の
87,section1,recent,最近の
88,section1,major,主要な；大きい（ほうの）；長調の
89,section1,patient,忍耐強い；勤勉な
90,section1,particular,特定の；特別の；（～について）やかましい（about）
91,section1,physical,身体の（⇔ mental ⇒ 183）；物質的な；物理学の
92,section1,various,さまざまな；いくつかの
93,section1,available,手に入る；利用できる；手が空いている
94,section1,native,出生地の；原産の；生得の
95,section1,political,政治（上）の
96,section1,due,予定された；（支払）期日で；しかるべき
97,section1,blank,空白の；無表情な；がらんとした
98,section1,ancient,古代の；昔からの
99,section1,correct,正しい；適切な
100,section1,despite,～にもかかわらず（≒ in spite of）
101,section2,notice,に気づく
102,section2,refer,言及する，関連する；参照する
103,section2,approach,に近づく；に取り組む
104,section2,wonder,かなと思う；（に）驚く（at）
105,section2,imagine,（を）想像する；（を）推測する
106,section2,recognize,を識別できる；を認める
107,section2,solve,を解く，解明する；（困難など）を解決する
108,section2,occur,起こる；心に浮かぶ；現れる
109,section2,argue,と主張する（≒ claim ⇒ 110、 maintain ⇒ 206）；議論する
110,section2,claim,と主張する；を（自分のものとして）要求する
111,section2,express,を表す，述べる
112,section2,draw,を引き出す；を引く；を描く；近づく
113,section2,waste,を浪費する，無駄にする
